name|street|city|state|zip|phone|website|lat|lon|slips|max_loa|vhf|amenities|source
FoxStays Docks|200 Plaza Las Olas|Fort Lauderdale|FL|33301|+19544661642||26.12067395998454|-80.1103304530881|||||marinas.com
Bal Harbour Yacht Club|200 Bal Bay Drive|Bal Harbour|FL|33154|(305) 865-6048|www.balharbouryachtclub.com|25.89512445032942|-80.12846859889288|||||marinas.com
Dania Beach Offshore|90 North Bryan Road|Dania Beach|FL|33004|954-920-5595|www.daniabeachoffshore.com|26.052902|-80.155922|||||marinas.com
Angler's Avenue Marine Center|4470 Anglers Ave|Dania Beach|FL|33312|+19549628702|www.aamcmarina.com|26.06721006956536|-80.16752538492952|||||marinas.com
Reliable Fuel|1825 Ponce de Leon Blvd |Coral Gables|FL|33134|+17869295509||25.7554528231327|-80.25854161981094|||||marinas.com
The Bluffs Marina|1377 Tidal Pointe Blvd|Jupiter|FL|33477|+15614083993|www.thebluffsmarinajupiter.com|26.89370193567306|-80.07161939692243|||16||marinas.com
Harbour Towne Marina|801 NE 3rd Street|Dania|FL|33004|(954) 926-0300||26.05934523011075|-80.13101900875338|||||marinas.com
La Coloma Marina|243 NW South River Dr|Miami|FL|33128-1530|(305) 325-9702||25.77603790297536|-80.20369406456032|||||marinas.com
Griffin Harbor Marina|2051 Griffin Rd|Fort Lauderdale|FL|33312|954-964-4444||26.064401859950365|-80.16124813993456|||||marinas.com
Dania Beach Marina|151 North Beach Rd|Dania Beach|FL|33004-3023|954-924-3796||26.05585113721901|-80.11293787004634|||||marinas.com
Cable Marine Inc. - Cable West| 2491 SW State Road 84|Fort Lauderdale|FL|33312|800-424-5027|www.cablemarine.com|26.08930675535582|-80.17340141000066|||||marinas.com
Miami Yacht \u0026 Engine Works|2100 NW North River Drive|Miami|FL|33125|305-325-0233||25.7891998|-80.2285995|||||marinas.com
Intracoastal Marina|16900 N Bay Road|Miami Beach|FL|33160|+17275953592||25.93220246276648|-80.1273582857879|||||marinas.com
Jupiter Inlet Marina|1095 North A1A|Jupiter|FL|33477|5612033220||26.94638458626997|-80.08426467531967|||||marinas.com
Lauderdale Yacht Club|1725 SE 12th Street|Fort Lauderdale|FL|33316|954-818-1457|www.lyc1938.org|26.10843398751227|-80.1245157999631|||16||marinas.com
Gator Harbour West Marina|7930 East Drive|North Bay Village|FL|33141|(305) 754-2200|www.clubnauticomiami.com|25.8528633|-80.1578522|||||marinas.com
Loggerhead Plaza|14255 U.S. Hwy 1|Juno Beach|FL|33408|+15616272702||26.88481386289729|-80.0580204323848|||||marinas.com
Miami Yacht Club|1001 MacArthur Causeway|Miami|FL|33132|305-377 9877|www.miamiyachtclub.com|25.78592313286417|-80.17269637248675|||||marinas.com
North Beach Marina|724 NE 79th St|Miami|FL|33138-4712|+13057588888||25.84709609800085|-80.18181094701718|||||marinas.com
Royal Palm Yacht Club|2425 W Maya Palm Dr|Boca Raton|FL|33432|561-395-2100|www.rpycc.org|26.325180459948726|-80.08810109707517|||||marinas.com
Lighthouse Point Marina|8610 Bay Pines Blvd|St Petersburg|FL|33709|(727) 384-3625||27.811387779008|-82.76017135172748|||||marinas.com
Rolly Marine|2551 State Road 84|Fort lauderdale|FL|33312|(954) 583-5300|www.rolly-marine.com|26.09061339879429|-80.17568732938769|||||marinas.com
Wilshire Marina|2308 N Ocean Drive|Hollywood|FL|33022|(954) 927- 0777||26.0263996|-80.1166992|||||marinas.com
Hidden Harbour Marina, Pompano Beach|2315 NE 15th St|Pompano Beach|FL|33060|954-941-0498|www.hidden-harbourmarina.com|26.252113281821423|-80.09942300214547|||||marinas.com
Taha Marine Center|3109 E Atlantic Blvd|Pompano Beach|FL|33062|(954) 785-4737||26.23250608874713|-80.09318587837808|||||marinas.com
Grove Key Marina|3385 Pan American Drive|Miami|FL|33133|(305) 858-6527|www.sailmiami.com|25.72852725050764|-80.23351557487922|||||marinas.com
Cocoplum Yacht Club|6500 Prado Blvd|Coral Gables|FL|33143|(305) 663-1353|www.cocoplumyachtclub.com|25.7049999|-80.2502975|||||marinas.com
Coral Reef Yacht Club|2484 South Bayshore Drive|Miami|FL|33133|(305) 858-1733|www.coralreefyachtclub.org|25.731666255800278|-80.22993307720728|||||marinas.com
Key Biscayne Yacht Club|180 Harbor Dr|Key Biscayne|FL|33149|(305) 361-8229|www.kbyc.org|25.69976065508564|-80.16883412054271|||||marinas.com
Hurricane Cove Marina|1884 NW North River Drive|Miami|FL|33125|+13053248004||25.78711539145385|-80.22771061304792|||||marinas.com
Popeye Marina|830 NW 8th Street|Miami|FL|33136|(305) 325-8187||25.781973531818124|-80.20774614169474|||||marinas.com
Snapper Creek Marina|11190 Snapper Creek Road|Coral Gables|FL|33156|305-661-0505||25.6667004|-80.2807999|||||marinas.com
Jupiter Pointe Marina|18701 SE Federal Hwy|Tequesta|FL|33469-1719|561-746-2600||26.97586221459113|-80.08718300281723|||||marinas.com
West Palm City Docks|401 Clematis Street|West Palm Beach|FL|33401|(561) 822-2222|www.thepalmbeaches.com|26.71037377198647|-80.04865384367105|||||marinas.com
Grove Isle Marina|4 Grove Isle Dr|Coconut Grove|FL|33133|3058584753||25.7363808498241|-80.21948613855155|||16||marinas.com
Safe Harbor New Port Cove|255 E. 22nd Court|Riviera Beach|FL|33404-5615|+15618442504||26.78019250078967|-80.04998924199404|||16||marinas.com
Jupiter Waterfront Inn|18903 SE Federal Hwy|Tequesta|FL|33469|(561) 747-9085, 1-888-747-9085|www.jupiterwaterfrontinn.com|26.9741993|-80.0875015|||||marinas.com
Playboy Marine Center|760 Taylor Lane|Dania Beach|FL|33004|(954) 920- 0533|www.playboymarine.com|26.06047155070634|-80.13237269145613|||||marinas.com
Miami Boat Locker|3250 NW N River Dr|Miami|FL|33142|(305) 871-9588||25.80014743078452|-80.24991677033647|||||marinas.com
Banyan Bay Marina|4491 Ravenswood Rd|Fort Lauderdale|FL|33312-5751|954-893-0004|www.banyanbaymarina.com|26.066690476800915|-80.16952783373772|||||marinas.com
Loggerhead Marina at South Miami|24777 SW 87th Avenue|Miami|FL|33032|305-258-3500||25.537661392604335|-80.32685637535468|||16||marinas.com
Loggerhead Marina at Jupiter|3238 Casseekey Island Rd|Jupiter|FL|33477-1301|561-747-8980||26.918547116494167|-80.08105608776408|||||marinas.com
Marina Village at Bahia Mar |849 Seabreeze Blvd|Fort Lauderdale|FL|33316|+19542535970|www.marinavillageftl.com|26.11199732808745|-80.10597022804944|||||marinas.com
Kingsley Plantation Dock|11676 Palmetto Avenue|Jacksonville|FL|32226|904-251-3537|www.nps.gov|30.441093419682346|-81.43915465490294|||||marinas.com
Milt's Marina|60 Cat Cay Court|Dania|FL|33004|401-885-3700.||26.0606136|-80.159317|||||marinas.com
Palm Harbor Marina|400  North Flagler Drive, Suite A|West Palm Beach|FL|33401|+15616554757|www.palmharbor-marina.com|26.716163024332673|-80.04878778212529|||16||marinas.com
Herbert Hoover Marina at Homestead Bayfront Park|9698  SW 328th St|Homestead|FL|33033|(305) 230-3033|www.miamidade.gov|25.46226555419564|-80.34028063610087|||||marinas.com
Cozy Cove Marina|300 North Federal Highway|Dania|FL|33004|954-921-8800|www.cozycovemarina.com|26.058953858376057|-80.14309131616922|||||marinas.com
Harbour Point Marina|2221 Monet Road|West Palm Beach|FL|33410|561-799-9590|www.hmy.com|26.837696038591616|-80.06769455568282|||||marinas.com
Biscayne National Park Marina|9700 SW 328th St|Homestead|FL|33033|(305) 230-7275|www.miamidade.gov|25.46368873679114|-80.33417010645786|||||marinas.com
Banyan Resort Marina|111 Isle of Venice Drive|Fort Lauderdale|FL|33301|+13052967786|www.banyanmarina.com|26.1256008|-80.1213989|||||marinas.com
The Ways Boat Yard|2300 Idlewilde Road|Palm Beach Gardens|FL|33410|561-622-8550 ||26.847814048835417|-80.06720978775014|||||marinas.com
Captain Paul's Landing|1111 Love Street|Jupiter|FL|33458|+17278248007||26.9461002|-80.0817032|||||marinas.com
Jockey Club Marina|11111 Biscayne Blvd|Miami|FL|33181|305-899-9629|www.thejockeyclubmiami.com|25.87856344690698|-80.16322809241106|||||marinas.com
Palm Bay Club Marina|759 N.E. 69th Street|Miami|FL|33138|305-751-3700|www.palmbayclubmarina.com|25.837639635153792|-80.17911891208138|||||marinas.com
Coconut Bay Resort|919 North Birch Road|Fort Lauderdale|FL|33304|954-563-4229|www.coconutbay.org|26.137104125336222|-80.10653980366953|||||marinas.com
Universal Marine Center|2700 SW 25th Ter.|Fort Lauderdale|FL|33312|954-791-0550||26.08969935545437|-80.17461955228254|||||marinas.com
Complete Marine|800 South Federal Highway|Pompano Beach|FL|33062|954-567-2628||26.220929745325435|-80.10346399101996|||||marinas.com
InterMarine - Fort Lauderdale|4550 Anglers Avenue|Fort Lauderdale|FL|33312|954-894-9895|www.intermarineboats.com|26.06531943406368|-80.16697510440395|||||marinas.com
InterMarine - Dania|320 North Federal Hwy|Dania|FL|33004|954-922-5500|www.intermarineboats.com|26.05920120716233|-80.1435378929339|||||marinas.com
Bill Bird Marina at Haulover Park|10800 Collins Avenue|Miami Beach|FL|33154|305-947-3525|www.miamidade.gov|25.906680683813704|-80.12520808324922|||||marinas.com
Delray Beach City Marina|159 Marine Way|Delray Beach|FL|33444|(561) 243-7250 ext 7255|www.delraybeachfl.gov|26.4589449180676|-80.06466870209711|||||marinas.com
Grandview Palace Marina|7601 E. Treasure Drive|North Bay Village|FL|33141|305-300-6828||25.847985650998623|-80.14463532621937|||||marinas.com
Boynton Harbor Marina|735 Casa Loma Blvd|Boynton Beach|FL|33435|+15617357955|www.boyntonbeachcra.com|26.5276789890143|-80.05474907763735|||||marinas.com
The Seagate Yacht Club|110 MacFarlane Drive|Delray Beach|FL|33444|+15615739462|www.seagatedelray.com|26.45866811753829|-80.06381422368823|||16||marinas.com
Lauderdale Small Boat Club|1740 SW 42 Street|Fort Lauderdale|FL|33315|954-359-7659|www.l-s-b-c.com|26.06816666666389|-80.1635|||||marinas.com
Ft. Lauderdale Boatyard \u0026 Marina|1915 SW 21st Ave|Fort Lauderdale|FL|33312|843.576.2499\t||26.09719537139867|-80.16998116168483|||||marinas.com
Pier Sixty-Six Marina|2301 SE 17th Street|Fort Lauderdale|FL|33316|+19547283578|www.piersixtysixmarina.com|26.10213350580082|-80.11735299009801|||16||marinas.com
Ft. Lauderdale BoatClub|1915 SW 21st Avenue|Fort Lauderdale|FL|33312|954 797-PIER|www.boatclubsamerica.com|26.0980434|-80.1701279|||||marinas.com
Sunny Isles Marina|400 Sunny Isles Blvd|Sunny Isles Beach|FL|33160|(305) 945-6000|www.waterwayrealty.com|25.928731265505775|-80.12851496030943|||||marinas.com
Boathouse Marine Center|599 South Federal Hwy|Pompano|FL|33062|+19549433200||26.22630126401373|-80.1037060509791|||||marinas.com
Marina Bay Marina|2525 Marina Bay Drive West|Fort Lauderdale|FL|33312|+19547917600||26.0932289956374|-80.17118035006565|||16||marinas.com
Grove Harbour Marina|2640 S Bayshore Drive|Miami|FL|33133|305-854-6444|www.groveharbourmarina.com|25.729959431988448|-80.23284045372326|||||marinas.com
Austral International Marina|2190 N.w. North River Drive|Miami|FL|33125|305-325-0177|www.australinternational.net|25.789262634238696|-80.23102719114186|||||marinas.com
Las Olas Marina|151 Las Olas Cir|Ft Lauderdale|FL|33316|+19547566557||26.12173894640163|-80.10822582785104|||16||marinas.com
IGY Marinas - Island Global Yachting||Fort Lauderdale|FL||9543322398||26.1005993|-80.1219025|||||marinas.com
Boathouse Yacht Facility|1601 SE 16th Street|Fort Lauderdale|FL|33316|+19549148949||26.102420871857035|-80.12511605577825|||||marinas.com
Vice City Marina|801 Brickell Bay Drive|Miami|FL|33131|+13052399903||25.765175|-80.18813|||||marinas.com
Matheson Hammock Marina|9610 Old Cutler Rd|Miami|FL|33156|305-665-5475|www.miamidade.gov|25.6796665|-80.2591629|||||marinas.com
Miami Outboard Club|1099 MacArthur Causeway|Miami|FL|33133|305-379-3000|www.mocmiami.com|25.7817001|-80.1718979|||||marinas.com
Cypress Island Marina|2775 Cypress Island Drive|Palm Beach Gardens|FL|33410|561-626-1792|www.cypressislandmarina.com|26.888842431289987|-80.0746586506804|||16||marinas.com
Rybovich Superyacht Marina|4200 N Flagler Dr|West Palm Beach|FL|33407-4294|561- 844-1800|www.rybovich.com|26.749025944793104|-80.0500286433531|||65||marinas.com
Yacht Management|3001 W State Rd 84|Fort Lauderdale|FL|33312|954-941-6447||26.085798658856362|-80.18386442208795|||||marinas.com
Pelican Harbor Marina|1275 NE 79th Street|Miami|FL|33138|(305) 754-9330|www.miamidade.gov|25.849632857255656|-80.165679493688|||||marinas.com
Soverel Harbour Marina|2401 PGA Blvd.|Palm Beach Gardens|FL|33410|561-691-9554|www.soverelmarina.com|26.84601380098023|-80.07039258507719|||16||marinas.com
Dinner Key Marina|3400 Pan American Drive|Miami|FL|33133|305-329-4755|www.miamigov.com|25.725917330679593|-80.23350416191197|||68||marinas.com
Marina Delray Inc|777 Palm Trail|Delray Beach|FL|33483|561-276-7666|www.marinadelray.com|26.473729853184224|-80.06263043260526|||16||marinas.com
South Miami-Dade Marina \u0026 Eco Adventures|54400 S Dixie Hwy|Homestead|FL|33030|(305) 247-8730|www.southdademarina.com|25.267072042283118|-80.43937144284611|||||marinas.com
Buccaneer Marina|142 Lake Drive|Palm Beach Shores|FL|33404|561-842-1620||26.77910888372513|-80.03991632407886|||||marinas.com
Marina Mar|3100 E Oakland Park Blvd.|Fort Lauderdale|FL|33308|(954) 563-7101||26.166979797907246|-80.10375835066677|||||marinas.com
Flamingo Marina|1 Flamingo Lodge Hwy|Homestead|FL|33034|2396951095||25.142398978980836|-80.92277965127012|||||marinas.com
Crandon Park Marina|4000 Crandon Blvd|Key Biscayne|FL|33149|305-361-1281|www.miamidade.gov|25.725551467297194|-80.15609838314008|||16||marinas.com
Cay Marine Services|501 NW South River Dr|Miami|FL|33136|305-545-5700|www.caymarineservice.com|25.779045129955094|-80.2090038354598|||||marinas.com
Anchor Marine|961 N.W. 7th St|Miami|FL|33136|305-545-6348|www.anchormarinemiami.com|25.78052893280679|-80.21071373082175|||||marinas.com
Lott Brothers Marina|631 Northlake Blvd|North Palm Beach|FL|33408|(561) 844-0244|www.lottbros.com|26.80843717089641|-80.06739356964235|||||marinas.com
Palm Beach Sailing Club|4600 North Flagler Drive|West Palm Beach|FL|33407|561-881-0809|www.pbsail.org|26.753018846257177|-80.05117941112994|||||marinas.com
Murray Marine the Palm Beaches|1616 Broadway|Riviera Beach|FL|33404|561-842-4582|www.murraymarineservices.com|26.77672|-80.0546646|||||marinas.com
Viking Yacht Service Center|1550 Avenue C|Riviera Beach|FL|33404|561-493-2800|www.vikingyachts.com|26.7759733129608|-80.05149655364433|||||marinas.com
Riverfront Marina|420 SW 3rd Avenue|Fort Lauderdale|FL|33315|(954) 527-1829|www.riverfrontmarina.com|26.118083631469972|-80.14595135429275|||||marinas.com
Two Georges at the Cove Marina|1756 SE 3rd Ct|Deerfield Beach|FL|33441|954-427-0353, 954-421-9272|www.twogeorgesrestaurant.com|26.31316831272804|-80.08134117496454|||||marinas.com
Seminole Marine|2208 Idlewilde Rd|Palm Beach Gardens|FL|33410-2599|561-622-7600||26.84737|-80.06695|||||marinas.com
Boater's Grill|1200 Crandon Blvd|Key Biscayne|FL|33149|+13053610080||25.67538434927208|-80.16154318974587|||||marinas.com
Deering Bay Yacht Club|13660 Deering Bay Drive|Miami|FL|33158|305-254-2111|www.dbycc.com|25.635449173435518|-80.2939071780274|||||marinas.com
Jones Boat Yard|3399 NW South River Dr|Miami|FL|33142|305-635-0891|www.jonesdrydock.com|25.800124059976156|-80.25115123878679|||||marinas.com
Black Point Marina|24777 Southwest 87th Avenue|Miami|FL|33190|305-258-4092|www.miamidade.gov|25.539477150582485|-80.32937509838779|||||marinas.com
Plantation Inn \u0026 Golf Resort: Marina|9301 W Fort Island Trl|Crystal River|FL|34428|352-795-4211||28.878753827141907|-82.59050414855233|||||marinas.com
MarineMax East Florida Yacht Center|490 Taylor Lane|Dania Beach|FL|33004|954-926-0308|www.marinemax.com|26.0608006|-80.1361008|||||marinas.com
Museum Park Marina|1075 North Biscayne Blvd|Miami|FL|33132|305-632-1242|www.yachtsmyth.com|25.783032|-80.187387|||||marinas.com
Norseman Shipbuilding Marine|437 NW South River Drive|Miami|FL|33133|(305) 545-6815|www.norsemanshipbuilding.com|25.77852018049569|-80.20802402025757|||||marinas.com
One Island Park - Miami Beach|120 MacArthur Causeway|Miami Beach|FL|33139|+1 305 285 8340||25.7700857|-80.1465416|||11||marinas.com
Loggerhead Marina at Aventura|3601 NE 207th St|North Miami Beach|FL|33180|305-935-4295, 954-457-8557||25.97050659444794|-80.12858805195042|||16||marinas.com
Loggerhead Marina at Hollywood|1400 Marina Dr|Hollywood|FL|33019|954-457-8557||26.002653903605164|-80.12123267425001|||16||marinas.com
Yacht Haven Park \u0026 Marina|2323 W State Road 84|Fort Lauderdale|FL|33312-4835|(954) 583-2322||26.09430493513203|-80.1728942510286|||||marinas.com
Marina Village at Boynton Beach|735 Casa Loma Blvd|Boynton Beach|FL|33435|561-735-7955|www.marinavillagemarina.com|26.528489319423414|-80.05469473653672|||||marinas.com
Loggerhead Marina at Lantana|870 N Federal Highway|Lantana|FL|33462|561-582-4422||26.592529912624983|-80.04833652094788|||16||marinas.com
Loggerhead Marina at Riviera Beach|2620 Lakeshore Dr|Riviera Beach|FL|33404|561-840-6868||26.785026541013536|-80.0490882711179|||16||marinas.com
Sea Ranch Club of Boca|4301 N Ocean Blvd|Boca Raton|FL|33431|(561) 395-0447|www.searanchclubofboca.com|26.3886045525835|-80.0692958306885|||||marinas.com
Best Western On the Bay and Marina|1819 79th Street Causeway|Miami|FL|33147|(305) 865-7100||25.8493996|-80.1472015|||||marinas.com
Loggerhead Marina at Palm Beach Gardens|2700 Donald Ross Road|Palm Beach Gardens|FL|33410|+15616276358||26.8801682209894|-80.07356376299954|||10||marinas.com
Anchorage Park Marina Ramp|606 Anchorage Dr|North Palm Beach|FL|33408|561-841-3386|www.village-npb.org|26.81389731330833|-80.06842867601206|||||marinas.com
Regal Yachting Marina,Miami |2215 NW 14th St|Miami|FL|33125|855-583-5700||25.788004|-80.23168|||||marinas.com
Discount Dockage|2810 NE 30th St|Fort Lauderdale|FL|33306|+19544947569||26.17754561621409|-80.11986822910367|||||marinas.com
Sundance Marine|1335 SE 16th Street|Fort Lauderdale|FL|33316|954-522-2800||26.1014004|-80.1292038|||||marinas.com
Oceanika Yachts Marina \u0026 Brokerage|3480 NW 21st St|Miami|FL|33142|305-634-1682|www.oceanikayacht.com|25.794840160387636|-80.25076970954392|||||marinas.com
Las Olas Mooring Area|240 Las Olas Cir|Fort Lauderdale|FL|33316|954-828-7200||26.1210995|-80.1082993|||||marinas.com
Marina One Yacht Club \u0026 Marina|580 \u0026 609 North Federal Highway|Deerfield Beach|FL|33441|(954) 421-2500||26.324321717798043|-80.08924228083296|||||marinas.com
JIB Yacht Club \u0026 Marina|46 Beach Road|Jupiter|FL|33469|+15617464300|www.jibmarinajupiter.com|26.95169254041693|-80.07708178166607|||16||marinas.com
Loggerhead Club \u0026 Marina - North Miami Beach|17201 Biscayne Blvd|North Miami Beach|FL|33160|(305) 258-3500||25.9335995|-80.1500015|||||marinas.com
Hi-Lift Marina|2890 N.E. 187th Street|Aventura|FL|33180|305-931-2550||25.9482994|-80.1417007|||||marinas.com
Aquamarina Oceanside|300 SW 1st Ave |Ft Lauderdale |FL|33301|+15612516394||26.22001|-80.09147|||||marinas.com
Admiral's Cove Marina|300 Admirals Cove Blvd|Jupiter|FL|33477|+15617455930|www.admiralscove.net|26.90957523829788|-80.0840842458418|||10||marinas.com
Sands Harbor Resort \u0026 Marina|125 North Riverside Drive|Pompano Beach|FL|33062|+19547881730|www.sandsharbor.com|26.23295986535422|-80.09304027373864|||||marinas.com
Blowing Rocks Marina|18487 SE Federal Highway|Tequesta|FL|33469|561-746-3312|www.blowingrocksmarina.com|26.9785995|-80.0883026|||||marinas.com
RMK Merrill-Stevens|881 Northwest 13th Avenue|Miami|FL|33125|+13053245211|www.rmkms.com|25.78229627584024|-80.21518100105709|||16||marinas.com
Turnberry Marina|19735 Turnberry Way|Aventura|FL|33180|305-933-6934|www.turnberrymarina.com|25.95801086678256|-80.12762904618486|||68||marinas.com
Cooley's Landing Marina|450 SW 7th Avenue|Fort Lauderdale|FL|33312|(954) 828-4626|www.parks.fortlauderdale.gov|26.116680975894255|-80.14958608648006|||||marinas.com
Jupiter Yacht Club|348 S. US 1|Jupiter|FL|33477|561-741-3407|www.jycmarina.com|26.92998925440442|-80.07998574056366|||||marinas.com
Allied Marine|801 Seabreeze Blvd|Fort Lauderdale|FL|33316|(954) 467-8405|www.alliedmarine.com|26.11341381765595|-80.10615709736553|||||marinas.com
River Landing|1400-1500 NW North River Drive|Miami|FL|33125|+13053077705|www.riverlandingmiami.com|25.78497667868528|-80.22042401797819|||||marinas.com
First Performance Marina|1900 SE 15th Street|Fort Lauderdale|FL|33316|954-763-8743||26.10295573005382|-80.12122579084793|||||marinas.com
City of Miami Marinas|3400 Pan American Drive|Miami|FL|33133|305-329-4755||25.72835438330125|-80.2341087488924|||16||marinas.com
Seahaven Marina|301 NE 5th Avenue|Dania Beach|FL|33004|+19546366611||26.05929644015193|-80.1359987778357|||71||marinas.com
Lake Park Harbor Marina|105 Lake Shore Dr|Lake Park|FL|33403|(561) 881-3353|www.lakeparkflorida.gov|26.79328534547213|-80.05212192531884|||16||marinas.com
Keystone Point Marina|1950 NE 135th Street|North Miami|FL|33181|(305) 940-6236|www.keystonepointmarina.com|25.898423011742366|-80.15868451963618|||||marinas.com
Miami Beach Marina|300 Alton Road|Miami Beach|FL|33139|305-673-6000|www.miamibeachmarina.com|25.7695007|-80.1395035|||16||marinas.com
Lighthouse Point Yacht Club|2701 NE 42 Street|Lighthouse Point|FL|33064|+19542638281||26.28433591641914|-80.08329408765307|||16||marinas.com
Coral Ridge Yacht Club|2800 Yacht Club Blvd|Fort Lauderdale|FL|33304|954-566-7886|www.coralridgeyachtclub.com|26.1408615|-80.1087265|||||marinas.com
Sunrise Harbor Marina|1030 Seminole Dr|Fort Lauderdale|FL|33304-3224|(954) 667-6720|www.sunriseharbormarina.net|26.139191702630512|-80.10939388790557|||||marinas.com
Rybovich Marine Center|2010 Avenue B|Riviera Beach|FL|33404|561-863-4126|www.rybovich.com|26.7785689061527|-80.0508287731094|||||marinas.com
Haulover Marine Center|15600 Collins Avenue|North Miami|FL|33154|(305) 945-3934|www.haulovermarinecenter.net|25.917023760687357|-80.12401992071808|||||marinas.com
TNT Marine Center|1940 NE 135th Street|North Miami|FL|33181|305-947-6088||25.89831717936056|-80.15964776034657|||13||marinas.com
Middle Point Marina|3601 NW South River Dr|Miami|FL|33142|+17869535070||25.8002548|-80.2517242|||||marinas.com
Sailfish Marina Resort|98 Lake Drive|Palm Beach Shores|FL|33404|+15618441724|www.sailfishmarina.com|26.777455|-80.039668|||68||marinas.com
Sunset Harbour Yacht Club |1928 Sunset Harbour Drive|Miami Beach|FL|33139|305-398-6800|www.sunsetharbouryc.com|25.7947075988105|-80.14569163660538|||9||marinas.com
Untwine Marina|300 Biscayne Boulevard Way|Miami|FL|33131|+17867413713||25.77081295917776|-80.18719448580615|||||marinas.com
Roscioli Yachting Center|3201 W State Road 84|Fort Lauderdale|FL|33312|(954) 321-1250, 954-581-9200|www.rycshipyard.com|26.086032275247632|-80.18695556284038|||||marinas.com
Winston Yacht Club|270 174th St|Sunny Isles Beach|FL|33160|305-932-0720|www.facebook.com|25.935869316497246|-80.12862441648836|||||marinas.com
Miamarina at Bayside|401 Biscayne Blvd|Miami|FL|33132|(305) 960-5180|www.miamigov.com|25.77831346468446|-80.18499357440598|||16||marinas.com
KDM Marina, Inc.|5225 Collins Avenue|Miami Beach|FL|33140|+15617889119||25.83002349076376|-80.12242628925071|||||marinas.com
The Port Marina|1801 SE 17th St|Fort Lauderdale|FL|33316|954-525-7678||26.102548164487757|-80.12318867975667|||||marinas.com
Rickenbacker Marina|3301 Rickenbacker Cswy|Key Biscayne|FL|33149-1016|3053611900|www.rmimarina.com|25.7467003|-80.1761017|||16||marinas.com
The Pointe Hotel|18701 SE Federal Hwy|Tequesta|FL|33469|561-283-3149|www.thepointehotel.com|26.97738283138962|-80.08807472539425|||||marinas.com
5th Street Marina|341 NW South River Drive|Miami|FL|33128|3053242040||25.777543379649714|-80.2060076119188|||||marinas.com
Hallandale Beach City Marina|101 Three Islands Blvd|Hallandale Beach|FL|33009|+19544571653|www.cohb.org|25.98828069185072|-80.12646537938157|||||marinas.com
